iter	MAPE
0	0.9996485109
1	0.9996359649
2	0.9996243486
3	0.9994618412
4	0.9994085801
5	0.9994066498
6	0.9992812369
7	0.9991522324
8	0.9991090701
9	0.9991076791
10	0.9991075159
11	0.9991073527
12	0.9990970422
13	0.9990455914
14	0.9990337461
15	0.9990335986
16	0.9990192437
17	0.9989336632
18	0.9989275196
19	0.9989272915
20	0.9989207447
21	0.9989205738
22	0.9989150592
23	0.9989046556
24	0.9988968826
25	0.9988903915
26	0.9988882565
27	0.9988878993
28	0.9987813182
29	0.9987796543
30	0.998735513
31	0.9987346581
32	0.9987165621
33	0.9987163468
34	0.9986886865
35	0.9986884051
36	0.9986779575
37	0.998677752
38	0.9986598972
39	0.9986503732
40	0.9986501844
41	0.9986499641
42	0.9986497566
43	0.9986494924
44	0.9986492971
45	0.9986462891
46	0.99858791
47	0.9985876531
48	0.9985874421
49	0.9985390879
50	0.9985388648
51	0.99853861
52	0.9984715422
53	0.99847134
54	0.9984640799
55	0.9984639186
56	0.9984637105
57	0.9984634697
58	0.9984625076
59	0.9984622805
60	0.9983800567
61	0.9983798967
62	0.9983797366
63	0.9983746264
64	0.9983744223
65	0.998374218
66	0.9983740186
67	0.9983738939
68	0.9982866261
69	0.9982864288
70	0.9982861481
71	0.9982859727
72	0.9982858529
73	0.998285681
74	0.9982562947
75	0.9982540594
76	0.9982538566
77	0.9982502966
78	0.9982496281
79	0.9982494477
80	0.9982485848
81	0.9982483878
82	0.9982482697
83	0.9982687142
84	0.9982685049
85	0.9982673764
86	0.9982665844
87	0.9982664409
88	0.9982133255
89	0.9982131912
90	0.9981844963
91	0.9981817003
92	0.9981815819
93	0.9981442445
94	0.998161703
95	0.9981574331
96	0.998156894
97	0.9981567337
98	0.998156573
99	0.9981563967
100	0.998156189
101	0.9981560571
102	0.9981559707
103	0.9981557726
104	0.9981249754
105	0.9981248592
106	0.9981246766
107	0.998081515
108	0.9980745638
109	0.9980744139
110	0.9978826209
111	0.9978825108
112	0.9978824086
113	0.9978814242
114	0.9978813218
115	0.9978742208
116	0.9978670451
117	0.9978670217
118	0.9978660438
119	0.9978659337
120	0.9978549237
121	0.9978548139
122	0.9978438002
123	0.9978437006
124	0.9978435707
125	0.9978434685
126	0.9977568779
127	0.9977566875
128	0.9977061438
129	0.9976900165
130	0.9976898928
131	0.9976897654
132	0.9976896605
133	0.9976895411
134	0.9976887909
135	0.9976886178
136	0.9976885374
137	0.9976883638
138	0.9976724342
139	0.9976701501
140	0.9976700468
141	0.9976675739
142	0.9976675061
143	0.9976372655
144	0.9975879731
145	0.9975854867
146	0.9975759969
147	0.9975758245
148	0.9975743408
149	0.9975742319
150	0.9975741293
151	0.9975740138
152	0.9975735514
153	0.9975735332
154	0.9975734141
155	0.9975732917
156	0.9975731205
157	0.9975729993
158	0.9975716977
159	0.9975715963
160	0.9975714808
161	0.9975713114
162	0.9975712106
163	0.997528039
164	0.9974979772
165	0.9974978892
166	0.9974934146
167	0.9974516167
168	0.997451491
169	0.9974484961
170	0.9974483941
