iter	Passed	Remaining
400	8262	12342
401	8282	12320
402	8301	12297
403	8319	12272
404	8338	12249
405	8356	12225
406	8374	12201
407	8392	12177
408	8411	12154
409	8431	12132
410	8453	12114
411	8471	12090
412	8491	12068
413	8512	12049
414	8530	12024
415	8549	12001
416	8567	11978
417	8584	11953
418	8603	11929
419	8621	11906
420	8639	11882
421	8660	11861
422	8679	11839
423	8702	11821
424	8720	11798
425	8737	11773
426	8756	11750
427	8775	11728
428	8793	11704
429	8812	11681
430	8829	11656
431	8848	11633
432	8868	11612
433	8887	11590
434	8909	11571
435	8932	11555
436	8951	11533
437	8969	11509
438	8990	11488
439	9008	11465
440	9026	11441
441	9045	11419
442	9067	11400
443	9086	11378
444	9104	11355
445	9123	11332
446	9141	11309
447	9158	11284
448	9176	11261
449	9194	11237
450	9212	11214
451	9233	11194
452	9251	11170
453	9288	11171
454	9356	11207
455	9422	11240
456	9481	11265
457	9573	11329
458	9660	11386
459	9734	11427
460	9805	11464
461	9856	11477
462	9927	11514
463	9993	11544
464	10012	11519
465	10030	11494
466	10048	11468
467	10066	11443
468	10084	11417
469	10102	11392
470	10121	11367
471	10140	11343
472	10157	11316
473	10175	11291
474	10197	11271
475	10221	11252
476	10248	11237
477	10269	11214
478	10288	11190
479	10306	11165
480	10324	11140
481	10342	11114
482	10359	11089
483	10378	11064
484	10398	11041
485	10429	11030
486	10470	11029
487	10522	11040
488	10590	11067
489	10680	11116
490	10747	11141
491	10823	11174
492	10891	11201
493	10956	11223
494	10988	11210
495	11063	11242
496	11114	11248
497	11154	11244
498	11172	11217
499	11191	11191
500	11210	11166
501	11228	11139
502	11246	11112
503	11266	11087
504	11286	11062
505	11306	11038
506	11323	11010
507	11342	10984
508	11359	10958
509	11377	10931
510	11394	10904
511	11412	10877
512	11429	10850
513	11449	10825
514	11471	10803
515	11491	10778
516	11510	10753
517	11529	10727
518	11546	10701
519	11565	10675
520	11583	10650
521	11601	10623
522	11618	10596
523	11636	10570
524	11654	10544
525	11674	10520
526	11695	10497
527	11717	10474
528	11736	10449
529	11754	10423
530	11773	10398
531	11791	10372
532	11810	10347
533	11828	10322
534	11848	10297
535	11866	10272
536	11886	10248
537	11906	10224
538	11923	10197
539	11941	10172
540	11961	10148
541	11978	10122
542	11995	10096
543	12012	10069
544	12030	10043
545	12048	10018
546	12066	9992
547	12083	9966
548	12106	9945
549	12126	9921
550	12144	9896
551	12163	9871
552	12181	9846
553	12200	9822
554	12220	9798
555	12238	9773
556	12257	9748
557	12275	9723
558	12293	9698
559	12314	9675
560	12333	9651
561	12353	9627
562	12370	9602
563	12389	9577
564	12408	9553
565	12426	9528
566	12445	9504
567	12464	9480
568	12482	9454
569	12500	9430
570	12521	9407
571	12540	9383
572	12560	9359
573	12578	9335
574	12596	9310
575	12614	9285
576	12632	9260
577	12652	9237
578	12670	9212
579	12688	9188
580	12708	9165
581	12730	9142
582	12749	9118
583	12766	9093
584	12784	9069
585	12802	9044
586	12820	9020
587	12837	8995
588	12855	8970
589	12873	8946
590	12891	8921
591	12909	8896
592	12931	8875
593	12950	8851
594	12969	8827
595	12986	8803
596	13004	8778
597	13022	8754
598	13041	8730
599	13058	8705
600	13076	8681
601	13093	8656
602	13111	8632
603	13132	8610
604	13152	8586
605	13172	8564
606	13190	8540
607	13209	8516
608	13227	8492
609	13244	8467
610	13262	8443
611	13280	8419
612	13297	8394
613	13314	8370
614	13335	8348
615	13354	8324
616	13373	8301
617	13392	8277
618	13412	8255
619	13429	8231
620	13447	8207
621	13465	8183
622	13483	8159
623	13502	8135
624	13519	8111
625	13539	8089
626	13559	8066
627	13577	8042
628	13596	8019
629	13614	7995
630	13633	7972
631	13650	7948
632	13670	7925
633	13688	7902
634	13706	7878
635	13725	7855
636	13753	7837
637	13773	7814
638	13792	7791
639	13808	7767
640	13826	7743
641	13844	7720
642	13861	7696
643	13879	7672
644	13899	7649
645	13916	7625
646	13933	7601
647	13951	7578
648	13972	7556
649	13992	7534
650	14011	7511
651	14029	7488
652	14046	7464
653	14065	7441
654	14081	7417
655	14097	7392
656	14116	7369
657	14134	7346
658	14155	7324
659	14173	7301
660	14191	7278
661	14211	7256
662	14229	7232
663	14246	7208
664	14263	7185
665	14281	7162
666	14299	7139
667	14317	7115
668	14335	7092
669	14357	7071
670	14376	7049
671	14401	7029
672	14419	7006
673	14438	6983
674	14455	6960
675	14474	6937
676	14497	6917
677	14515	6893
678	14532	6870
679	14551	6847
680	14570	6825
681	14592	6803
682	14611	6781
683	14630	6758
684	14650	6736
685	14667	6713
686	14685	6690
687	14703	6667
688	14722	6645
689	14740	6622
690	14761	6601
691	14781	6578
692	14801	6557
693	14819	6534
694	14838	6511
695	14856	6489
696	14875	6466
697	14895	6444
698	14914	6422
699	14932	6399
700	14952	6377
701	14973	6356
702	14995	6335
703	15013	6312
704	15031	6289
705	15050	6267
706	15068	6244
707	15085	6221
708	15104	6199
709	15122	6176
710	15142	6155
711	15159	6132
712	15180	6110
713	15197	6087
714	15216	6065
715	15237	6043
716	15256	6021
717	15274	5999
718	15292	5976
719	15309	5953
720	15327	5931
721	15346	5909
722	15364	5886
723	15386	5865
724	15406	5843
725	15424	5821
726	15444	5799
727	15463	5777
728	15481	5755
729	15499	5732
730	15515	5709
731	15535	5687
732	15553	5665
733	15572	5643
734	15593	5622
735	15612	5600
736	15631	5578
737	15651	5556
738	15669	5534
739	15687	5511
740	15705	5489
741	15723	5467
742	15740	5444
743	15758	5422
744	15776	5400
745	15793	5377
746	15813	5355
747	15833	5334
748	15852	5312
749	15870	5290
750	15889	5268
751	15906	5245
752	15925	5223
753	15942	5201
754	15961	5179
755	15978	5157
756	15999	5136
757	16020	5114
758	16037	5092
759	16056	5070
760	16075	5048
761	16095	5027
762	16116	5006
763	16135	4984
764	16152	4961
765	16169	4939
766	16187	4917
767	16207	4895
768	16228	4875
769	16247	4853
770	16265	4831
771	16282	4808
772	16300	4786
773	16319	4765
774	16337	4743
775	16358	4721
776	16375	4699
777	16393	4677
778	16414	4656
779	16433	4635
780	16456	4614
781	16474	4592
782	16493	4570
783	16512	4549
784	16531	4527
785	16549	4505
786	16568	4484
787	16587	4462
788	16606	4441
789	16626	4419
790	16645	4398
791	16667	4377
792	16687	4356
793	16705	4334
794	16723	4312
795	16740	4290
796	16757	4268
797	16775	4246
798	16793	4224
799	16811	4202
800	16831	4181
801	16849	4159
802	16869	4138
803	16891	4117
804	16909	4096
805	16928	4074
806	16947	4053
807	16966	4031
808	16984	4009
809	17003	3988
810	17021	3966
811	17041	3945
812	17060	3924
813	17080	3902
814	17098	3881
815	17116	3859
816	17136	3838
817	17154	3816
818	17172	3795
819	17190	3773
820	17208	3751
821	17226	3730
822	17246	3709
823	17267	3688
824	17286	3666
825	17304	3645
826	17322	3623
827	17341	3602
828	17359	3580
829	17379	3559
830	17396	3537
831	17414	3516
832	17431	3494
833	17452	3473
834	17472	3452
835	17489	3431
836	17507	3409
837	17525	3387
838	17543	3366
839	17560	3344
840	17579	3323
841	17599	3302
842	17616	3280
843	17634	3259
844	17657	3238
845	17678	3217
846	17696	3196
847	17713	3175
848	17731	3153
849	17749	3132
850	17768	3111
851	17787	3089
852	17805	3068
853	17822	3046
854	17842	3025
855	17863	3005
856	17882	2983
857	17903	2963
858	17922	2941
859	17941	2920
860	17960	2899
861	17978	2878
862	17997	2857
863	18014	2835
864	18036	2814
865	18055	2793
866	18076	2772
867	18096	2751
868	18115	2730
869	18134	2709
870	18152	2688
871	18171	2667
872	18189	2646
873	18207	2624
874	18225	2603
875	18242	2582
876	18260	2560
877	18280	2540
878	18299	2519
879	18318	2497
880	18336	2476
881	18358	2456
882	18374	2434
883	18392	2413
884	18409	2392
885	18425	2370
886	18445	2349
887	18462	2328
888	18482	2307
889	18501	2286
890	18520	2265
891	18538	2244
892	18556	2223
893	18574	2202
894	18594	2181
895	18615	2160
896	18633	2139
897	18651	2118
898	18668	2097
899	18687	2076
900	18707	2055
901	18727	2034
902	18744	2013
903	18763	1992
904	18780	1971
905	18797	1950
906	18815	1929
907	18833	1908
908	18852	1887
909	18870	1866
910	18889	1845
911	18909	1824
912	18929	1803
913	18947	1782
914	18966	1761
915	18984	1740
916	19003	1720
917	19021	1699
918	19038	1678
919	19055	1657
920	19073	1636
921	19092	1615
922	19113	1594
923	19133	1573
924	19152	1552
925	19170	1531
926	19188	1511
927	19205	1490
928	19223	1469
929	19242	1448
930	19259	1427
931	19277	1406
932	19298	1385
933	19317	1365
934	19337	1344
935	19357	1323
936	19376	1302
937	19395	1281
938	19413	1261
939	19432	1240
940	19450	1219
941	19468	1198
942	19486	1177
943	19506	1157
944	19525	1136
945	19546	1115
946	19565	1094
947	19584	1074
948	19601	1053
949	19620	1032
950	19638	1011
951	19658	991
952	19675	970
953	19693	949
954	19714	928
955	19734	908
956	19754	887
957	19772	866
958	19791	846
959	19808	825
960	19828	804
961	19846	783
962	19865	763
963	19883	742
964	19901	721
965	19922	701
966	19942	680
967	19961	659
968	19980	639
969	19998	618
970	20016	597
971	20034	577
972	20052	556
973	20070	535
974	20090	515
975	20107	494
976	20128	473
977	20148	453
978	20167	432
979	20184	411
980	20202	391
981	20221	370
982	20238	350
983	20256	329
984	20274	308
985	20292	288
986	20310	267
987	20328	246
988	20350	226
989	20370	205
990	20388	185
991	20406	164
992	20425	143
993	20443	123
994	20462	102
995	20480	82
996	20498	61
997	20517	41
998	20539	20
999	20557	0
