iter	MAPE
0	0.992602353
1	0.984453828
2	0.9823041314
3	0.9802410566
4	0.9782806061
5	0.9729185308
6	0.9697098322
7	0.9662279956
8	0.9676587733
9	0.9684221008
10	0.9653920136
11	0.9617821287
12	0.9605816968
13	0.9626742074
14	0.9610632708
15	0.9598397788
16	0.9604260427
17	0.9586910194
18	0.9612645582
19	0.9652439413
20	0.961524247
21	0.9627296416
22	0.9628425349
23	0.9639844693
24	0.9644843537
25	0.9654757303
26	0.9671020224
27	0.9678918575
28	0.9662633409
29	0.9666272337
30	0.9647987905
31	0.9646771778
32	0.9645267494
33	0.9675751731
34	0.9669623153
35	0.9678408522
36	0.9704278304
37	0.9736030242
38	0.9743801419
39	0.9748550779
40	0.9758739319
41	0.9779968641
42	0.9774651227
43	0.9761715852
44	0.9771114409
45	0.9765321347
46	0.9763144503
47	0.9764553345
48	0.975481524
49	0.9767917159
50	0.9773003404
51	0.9755916941
52	0.9746845734
53	0.9740234776
54	0.9741560461
55	0.9728315232
56	0.9715156031
57	0.9729105623
58	0.9721388724
59	0.9730673674
60	0.9738326954
61	0.9741139957
62	0.9739486725
63	0.9748501923
64	0.9748476057
65	0.9746101048
66	0.9748405178
67	0.9745714098
68	0.9751606186
69	0.9759761381
70	0.9759510567
71	0.9766563609
72	0.9778901847
73	0.9775577124
74	0.9777388403
75	0.977711073
76	0.9783055515
77	0.9784371117
78	0.978193068
79	0.9780609256
80	0.9777409345
81	0.9779323759
82	0.9778766673
83	0.9786776626
84	0.9804070206
85	0.9810610776
86	0.9814303924
87	0.9810120725
88	0.9812341089
89	0.9813607498
90	0.9819820456
91	0.9816380465
92	0.9815120363
93	0.981634962
94	0.9821873353
95	0.9822655592
96	0.9823309792
97	0.9820941422
98	0.9819464456
99	0.981949339
100	0.981888758
101	0.9817292328
102	0.9819742789
103	0.9819691402
104	0.9818478822
105	0.9821713563
106	0.9825499035
107	0.9828535352
108	0.9830613937
109	0.9836581015
110	0.984097205
111	0.9878147468
112	0.9876408634
113	0.9875620932
114	0.9875205396
115	0.9873421822
116	0.9873388412
117	0.9885678036
118	0.9892554096
119	0.9890286125
120	0.988881702
121	0.9888162895
122	0.9886066744
123	0.9896019205
124	0.9908403088
125	0.9907328263
126	0.9916189723
127	0.9917693741
128	0.9916507505
129	0.9919113495
130	0.9918021316
131	0.9918756865
132	0.9924537468
133	0.9928325893
134	0.9927678235
135	0.9927283424
136	0.994966112
137	0.9946787656
138	0.9946149371
139	0.9950941004
140	0.9960898385
141	0.9959584853
142	0.9961694533
143	0.9963521787
144	0.9964126993
145	0.9962746933
146	0.9967587694
147	0.9968353955
148	0.9967774894
149	0.9967619706
150	0.9976458894
151	0.9976369706
152	0.9975917726
153	0.9974691011
154	0.9974224934
155	0.9976325348
156	0.9981282661
157	0.9981344924
158	0.9980795554
159	0.9980994446
160	0.99832293
161	0.9983211165
162	0.9983580603
163	0.9983453766
164	0.9983049664
165	0.9987700427
166	0.9989102883
167	0.9988162191
168	0.9993457273
169	1.000392988
170	1.000219257
171	1.000097401
172	1.000054668
173	1.00001272
174	1.000533245
175	1.000528422
176	1.00205222
177	1.002048178
178	1.002040377
179	1.002473884
180	1.002474257
181	1.002809035
182	1.002822819
183	1.004606757
184	1.004816789
185	1.004615645
186	1.004593761
187	1.005216151
188	1.005197286
189	1.005272267
190	1.005277238
191	1.005214887
192	1.005198036
193	1.005324454
194	1.007226723
195	1.007353613
196	1.007221891
197	1.007323758
198	1.0093248
199	1.009888925
200	1.010299149
201	1.010124242
202	1.009961772
203	1.010186642
204	1.010644481
205	1.011196682
206	1.011533715
207	1.01153802
208	1.011463559
209	1.012034038
210	1.012371144
211	1.012329091
212	1.013652663
213	1.01368537
214	1.013732621
215	1.013760885
216	1.013763222
217	1.014451756
218	1.01497952
219	1.01492221
220	1.015508036
221	1.015461216
222	1.015673306
223	1.015625412
224	1.016201638
225	1.016327475
226	1.01632516
227	1.016331145
228	1.016341561
229	1.016322895
230	1.016625906
231	1.016556033
232	1.016553698
233	1.016500413
234	1.017174422
235	1.017176957
236	1.01715495
237	1.017128284
238	1.017123111
239	1.016906687
240	1.016792937
241	1.018321682
242	1.018317276
243	1.018277065
244	1.018478679
245	1.018479034
246	1.018289112
247	1.018427532
248	1.018470833
249	1.018413622
250	1.018413105
251	1.018397131
252	1.018888017
253	1.018878536
254	1.01948209
255	1.019632909
256	1.019603857
257	1.019460722
258	1.019420398
259	1.019407388
